Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment,,,,,,
CH_DblPolGlass_R2_R2G1.d,229.940,29.254,27.135,23.64,1107.20,16.26,98.05,4.49,23.76,0.53,43.66,0.68,1.92,0.152,0.109,0.850,1.910,0.330,1.580,0.454,0.158,0.443,0.110,0.761,0.139,0.423,0.052,0.687,0.102,2.06,60.28,3.13,15.87,0.11,7.62,0.00,0.54,0.17,8.43,98.30,,,,,,,,,
CH_DblPolGlass_R2_R2G8.d,298.794,16.787,34.742,39.24,1003.59,13.13,63.86,4.23,16.74,0.47,32.44,0.41,1.60,0.103,0.115,0.631,1.450,0.207,1.158,0.204,0.098,0.225,0.066,0.772,0.153,0.553,0.088,0.582,0.106,1.57,58.69,6.96,12.52,0.12,8.33,0.04,0.42,0.11,9.34,98.17,,,,,,,,,
CH_DblPolGlass_R2_R4G11.d,300.920,10.243,13.075,36.62,1105.04,13.55,99.12,5.01,24.65,0.50,39.70,0.64,1.97,0.151,0.119,1.136,1.806,0.328,1.814,0.501,0.145,0.572,0.120,0.643,0.197,0.575,0.085,0.503,0.078,1.69,59.05,4.10,15.14,0.11,8.00,0.03,0.49,0.15,9.23,98.07,,,,,,,,,
CH_DblPolGlass_R2_R4G10.d,709.830,50.214,1369.883,44.97,983.92,12.74,67.59,4.47,18.54,0.54,32.10,0.55,1.51,0.093,0.096,0.610,1.378,0.233,1.149,0.423,0.145,0.417,0.110,0.569,0.124,0.591,0.057,0.640,0.112,1.60,58.89,6.92,12.62,0.14,8.20,0.02,0.43,0.15,9.36,98.41,,,,,,,,,
CH_DblPolGlass_R2_R4G7_Average.d,223.989,36.475,88.236,36.05,973.11,10.60,76.73,4.16,17.63,0.35,30.42,0.41,1.35,0.106,0.093,0.751,1.737,0.251,1.287,0.419,0.166,0.611,0.094,0.625,0.185,0.314,0.095,0.692,0.143,1.64,58.91,7.57,12.97,0.15,8.02,0.08,0.38,0.11,8.63,98.53,,,,,,,,,
CH_DblPolGlass_R2_R4G5_Average.d,243.216,29.514,48.287,38.88,1063.40,13.39,89.35,5.56,25.22,0.47,38.54,0.73,1.80,0.134,0.129,0.969,1.928,0.323,1.478,0.454,0.165,0.517,0.102,0.779,0.195,0.579,0.078,0.643,0.138,2.08,59.40,4.26,14.77,0.12,7.64,0.01,0.49,0.14,9.13,98.13,,,,,,,,,
CH_DblPolGlass_R2_R5G2_Average.d,225.813,34.028,66.808,38.68,994.45,14.54,96.11,5.59,25.85,0.52,39.99,0.75,1.89,0.160,0.142,0.998,2.127,0.333,1.519,0.468,0.186,0.639,0.106,0.634,0.180,0.569,0.104,0.734,0.103,2.01,59.21,5.83,14.27,0.16,7.60,0.01,0.53,0.14,8.68,98.51,,,,,,,,,
CH_DblPolGlass_R2_R5G7_Average.d,201.160,23.007,5.098,16.81,1008.13,17.66,111.07,4.41,26.24,0.63,48.11,0.85,2.51,0.164,0.163,1.141,2.562,0.448,1.539,0.349,0.196,0.435,0.085,0.613,0.124,0.362,0.081,0.552,0.104,2.43,61.28,1.61,16.91,0.09,6.33,0.02,0.62,0.16,6.57,96.13,,,,,,,,,
CH_DblPolGlass_R2_R5G12_Average.d,269.012,34.936,64.143,38.15,1329.94,13.92,92.26,6.21,24.26,0.49,38.21,0.87,1.82,0.119,0.126,0.698,1.434,0.210,1.240,0.380,0.143,0.743,0.122,0.809,0.179,0.580,0.089,0.688,0.101,1.85,59.30,3.78,15.28,0.13,8.08,0.02,0.44,0.16,8.82,97.93,,,,,,,,,
CH_DblPolGlass_R2_R6G11_1.d,215.370,23.319,7.759,21.18,1097.87,18.91,100.99,5.34,29.29,0.75,50.81,0.71,2.39,0.199,0.181,1.287,2.383,0.369,1.664,0.522,0.170,0.674,0.120,0.912,0.153,0.733,0.107,0.708,0.143,2.19,60.55,1.84,16.07,0.11,7.03,0.02,0.64,0.18,6.98,95.71,,,,,,,,,
CH_DblPolGlass_R2_R7G13_Average.d,239.856,38.162,89.598,42.88,895.16,10.89,65.86,4.24,19.44,0.40,30.14,0.55,1.44,0.114,0.101,,,,,,,,,,,,,,,1.66,58.98,7.63,12.70,0.16,8.09,0.07,0.39,0.15,8.70,98.64,,,,,,,,,
CH_DblPolGlass_R2_R7G10_Average.d,223.608,33.227,77.051,33.92,1010.54,12.23,81.11,4.33,20.30,0.45,33.40,0.56,1.50,0.129,0.103,0.822,1.803,0.282,1.258,0.418,0.166,0.447,0.073,0.740,0.143,0.418,0.066,0.705,0.100,1.88,58.67,6.72,13.87,0.14,7.75,0.01,0.46,0.15,8.82,98.56,,,,,,,,,
CH_DblPolGlass_R2_R7G9_Average.d,242.407,30.351,50.127,32.26,911.82,13.69,82.67,4.16,21.83,0.46,36.95,0.69,1.51,0.115,0.096,0.972,1.938,0.300,1.615,0.433,0.143,0.411,0.090,0.629,0.160,0.434,0.072,0.582,0.109,1.93,60.03,5.04,14.39,0.10,7.54,0.02,0.50,0.15,8.83,98.62,,,,,,,,,
CH_DblPolGlass_R2_R7G5_1.d,128.180,11.937,1.558,7.16,725.39,21.27,103.31,2.44,21.72,0.77,55.11,0.54,2.77,0.160,0.167,,,,,,,,,,,,,,,2.37,63.71,0.52,17.35,0.05,4.86,0.04,0.68,0.12,5.82,95.61,,,,,,,,,
CH_DblPolGlass_R2_R8G1_Average.d,246.718,36.423,79.953,41.41,859.34,12.17,70.64,4.31,20.10,0.44,33.82,0.48,1.68,0.132,0.119,0.778,1.543,0.245,1.196,0.327,0.126,0.451,0.073,0.655,0.124,0.428,0.076,0.679,0.087,1.67,58.70,6.45,13.43,0.11,8.12,0.03,0.44,0.12,9.14,98.28,,,,,,,,,
CH_DblPolGlass_R2_R8G11_2.d,203.571,22.213,7.320,24.10,1008.92,18.39,100.15,4.69,25.10,0.64,45.21,0.70,2.06,0.144,0.147,1.158,2.253,0.332,1.464,0.556,0.167,0.611,0.089,0.669,0.167,0.496,0.088,0.706,0.103,2.15,61.31,2.37,16.13,0.13,7.17,0.01,0.63,0.16,7.57,97.73,,,,,,,,,
CH9_Av,245.286,25.972,28.070,35.36,835.55,11.38,95.14,4.03,22.93,,,0.67,1.54,,,0.969,1.945,0.298,1.380,0.399,0.139,0.485,0.089,0.636,0.147,0.480,0.080,0.618,0.103,2.08,60.19,3.92,14.05,0.13,7.21,0.01,0.42,0.14,8.48,96.80,,,,,,,,,
M1_Glass1_1,229.25,33.15,27.62,42.57,744.26,13.14,93.10,3.96,19.32,0.39,42.86,0.58,1.74,0.129,0.132,0.989,1.921,0.302,1.401,0.398,0.145,0.534,0.092,0.653,0.149,0.454,0.074,0.540,0.091,1.78,58.71,5.44,11.76,0.13,8.28,0.03,0.41,0.16,9.41,96.17,,,,,,,,,
M1_Glass1_2,204.97,41.06,58.38,41.49,616.97,11.92,80.42,3.42,17.26,0.38,41.08,0.51,1.73,0.122,0.134,0.927,1.800,0.273,1.277,0.357,0.120,0.452,0.079,0.571,0.129,0.404,0.065,0.499,0.082,1.65,58.51,8.32,10.265,0.18,8.78,0.06,0.38,0.06,8.30,96.55,,,,,,,,,
M1_Glass1_3,218.18,35.87,35.67,42.07,690.97,13.12,89.31,3.76,18.96,0.37,39.92,0.59,1.60,0.117,0.122,0.934,1.825,0.292,1.362,0.388,0.139,0.525,0.088,0.617,0.140,0.455,0.069,0.542,0.087,1.76,59.21,6.66,11.17,0.15,8.42,0.03,0.39,0.14,8.82,96.83,,,,,,,,,
M1_Glass1_6,211.36,38.21,45.08,40.44,701.44,11.22,81.44,3.93,17.68,0.37,39.98,0.54,1.68,0.125,0.131,0.976,2.005,0.306,1.419,0.456,0.163,0.586,0.103,0.753,0.171,0.557,0.080,0.666,0.116,1.62,58.48,7.40,11.275,0.14,8.50,0.03,0.39,0.10,8.51,96.50,,,,,,,,,
M1_Glass1_8,202.68,42.13,60.99,40.37,605.30,12.25,81.99,3.60,17.86,0.38,40.81,0.53,1.70,0.120,0.132,0.926,1.772,0.270,1.245,0.393,0.122,0.461,0.080,0.533,0.125,0.406,0.065,0.482,0.083,1.66,58.59,8.56,10.26,0.13,8.50,0.06,0.38,0.06,8.35,96.60,,,,,,,,,
M1_Glass1_11,206.55,38.75,39.72,41.38,680.29,13.64,91.60,4.11,18.89,0.36,41.47,0.59,1.72,0.119,0.125,0.937,1.861,0.299,1.324,0.406,0.138,0.506,0.090,0.649,0.140,0.440,0.068,0.517,0.084,1.76,59.30,7.06,10.365,0.09,8.56,0.04,0.42,0.07,9.30,97.05,,,,,,,,,
M1_Glass1_13,202.99,43.61,64.96,40.34,593.85,11.96,80.57,3.47,17.68,0.37,40.69,0.53,2.46,0.123,0.131,0.907,1.739,0.275,1.220,0.338,0.122,0.432,0.073,0.532,0.126,0.394,0.066,0.487,0.081,1.62,58.71,8.82,10.14,0.18,9.03,0.06,0.40,0.05,8.13,97.17,,,,,,,,,
M1_Glass1_15,203.61,37.99,36.44,40.12,639.58,13.69,93.63,3.77,19.71,0.36,44.54,0.57,1.86,0.117,0.126,0.954,1.873,0.288,1.332,0.389,0.134,0.512,0.087,0.595,0.138,0.407,0.070,0.495,0.084,1.69,59.49,7.10,10.555,0.15,8.39,0.04,0.46,0.08,8.57,96.60,,,,,,,,,
M1_Glass1_18,206.08,42.47,60.58,40.61,614.57,12.28,83.07,3.57,18.27,0.37,40.86,0.54,1.73,0.121,0.131,0.926,1.817,0.285,1.276,0.337,0.121,0.452,0.077,0.572,0.123,0.421,0.068,0.495,0.085,1.66,58.89,8.55,10.31,0.18,9.00,0.06,0.42,0.07,8.24,97.41,,,,,,,,,
M1_Glass1_21,224.33,32.19,26.12,39.40,733.73,14.42,99.26,4.10,20.47,,,0.62,1.70,,,1.065,2.075,0.341,1.602,0.423,0.164,0.542,0.093,0.643,0.147,0.474,0.072,0.538,0.086,1.88,60.20,5.61,11.73,0.16,7.76,0.02,0.46,0.12,9.17,97.16,,,,,,,,,
M1_Glass1_25,205.65,38.05,38.55,39.95,646.43,13.56,93.94,3.91,19.82,0.36,43.62,0.58,1.83,0.112,0.127,0.936,1.846,0.302,1.368,0.420,0.141,0.498,0.089,0.616,0.138,0.444,0.067,0.510,0.088,1.80,59.50,7.18,10.75,0.12,8.51,0.03,0.45,0.09,8.72,97.23,,,,,,,,,
M1_Glass1_26,208.06,41.52,57.22,40.49,626.82,12.43,84.85,3.71,18.85,0.38,41.43,0.55,1.76,0.121,0.131,0.936,1.809,0.288,1.331,0.393,0.122,0.495,0.074,0.577,0.122,0.401,0.064,0.496,0.083,1.67,59.33,8.17,10.515,0.18,8.77,0.05,0.41,0.11,8.29,97.55,,,,,,,,,
M1_Glass2_1,216.11,36.90,30.02,41.24,803.30,13.99,100.47,4.55,21.37,0.40,43.84,0.66,2.02,0.127,0.131,1.011,2.051,0.324,1.593,0.470,0.165,0.602,0.107,0.720,0.162,0.521,0.083,0.582,0.097,1.89,59.91,6.22,11.115,0.13,8.31,0.03,0.46,0.10,8.79,97.01,,,,,,,,,
M1_Glass2_4,205.38,42.07,60.68,40.08,608.92,12.28,82.42,3.61,18.06,0.37,41.55,0.53,1.76,0.123,0.133,0.920,1.779,0.271,1.326,0.355,0.127,0.477,0.080,0.539,0.127,0.419,0.067,0.473,0.083,1.60,59.03,8.39,10.23,0.12,8.88,0.04,0.40,0.07,8.31,97.12,,,,,,,,,
M1_Glass2_5,202.94,38.09,37.56,39.47,630.34,13.70,91.90,3.73,19.17,0.36,44.51,0.56,1.87,0.116,0.125,0.939,1.859,0.302,1.346,0.405,0.137,0.511,0.086,0.611,0.131,0.439,0.070,0.525,0.085,1.83,59.89,7.02,10.525,0.09,8.55,0.02,0.44,0.13,8.62,97.22,,,,,,,,,
M1_Glass2_14,203.76,42.52,61.75,39.89,603.80,11.96,81.28,3.58,17.69,0.38,41.35,0.52,1.72,0.122,0.130,0.918,1.784,0.281,1.292,0.353,0.125,0.450,0.078,0.557,0.126,0.421,0.068,0.477,0.085,1.63,59.20,8.57,10.145,0.10,8.81,0.04,0.43,0.06,8.22,97.25,,,,,,,,,
M1_Glass2_17,202.10,43.26,63.90,39.37,589.62,12.23,80.03,3.43,17.32,,,0.51,1.77,,,0.923,1.768,0.271,1.299,0.380,0.122,0.435,0.079,0.551,0.129,0.415,0.068,0.499,0.081,1.65,58.86,8.64,10.18,0.11,8.82,0.04,0.40,0.02,8.12,96.89,,,,,,,,,
M1_Glass2_18,202.85,42.33,62.18,39.83,601.11,12.26,81.40,3.57,17.65,0.38,41.72,0.52,1.74,0.120,0.136,0.930,1.788,0.274,1.312,0.351,0.124,0.462,0.080,0.547,0.125,0.412,0.066,0.489,0.083,1.60,59.02,8.40,10.24,0.07,8.79,0.04,0.41,0.06,8.14,96.84,,,,,,,,,
M1_Glass2_20,244.93,42.92,117.64,43.16,795.42,10.47,77.17,4.40,18.01,0.40,38.36,0.53,1.60,0.136,0.126,0.951,1.903,0.292,1.403,0.443,0.140,0.555,0.092,0.700,0.155,0.521,0.083,0.669,0.108,1.64,56.28,7.59,12.36,0.09,8.67,0.01,0.34,0.05,9.87,96.94,,,,,,,,,
M1_Glass2_27,172.99,17.93,1.06,18.43,775.20,19.77,134.03,4.26,26.76,0.56,69.39,0.75,2.79,0.185,0.199,1.406,2.663,0.419,1.770,0.503,0.163,0.545,0.100,0.704,0.149,0.490,0.074,0.601,0.099,2.25,63.29,1.21,14.385,0.03,6.81,0.01,0.60,0.07,6.02,94.79,,,,,,,,,
M1_Glass2_30,222.10,34.53,32.18,40.92,718.61,13.85,95.54,4.01,19.96,0.39,44.78,0.58,1.58,0.135,0.123,1.081,2.091,0.332,1.594,0.457,0.157,0.588,0.090,0.681,0.149,0.471,0.075,0.556,0.091,1.91,60.08,6.01,11.32,0.07,8.14,0.01,0.45,0.06,8.89,97.02,,,,,,,,,
M1_EvGlass2_R2_R1G2_Average.d,,7.560,0.163,7.20,731.32,20.04,148.75,3.98,29.34,0.63,70.95,0.85,2.96,0.180,0.223,1.381,2.988,0.382,1.833,0.407,0.164,0.511,0.086,0.522,0.118,0.432,0.069,0.496,0.080,2.49,65.36,0.35,15.55,0.07,4.01,0.01,0.69,0.11,4.99,93.80,,,,,,,,,
M1_EvGlass2_R2_R1G4_Average.d,,10.565,0.093,10.23,752.10,19.50,138.69,3.99,27.51,0.60,66.59,0.84,2.71,0.176,0.207,,,,,,,,,,,,,,,2.40,64.30,0.59,15.10,0.07,4.93,0.02,0.64,0.15,5.09,93.42,,,,,,,,,
M1_EvGlass2_R2_R2G5_Average.d,,10.413,0.151,11.10,746.50,20.18,150.91,3.97,29.30,0.66,68.78,0.79,2.90,0.212,0.239,1.480,2.708,0.382,1.745,0.580,0.135,0.468,0.061,0.548,0.127,0.421,0.055,0.521,0.104,2.62,64.88,0.37,15.47,0.07,4.17,0.00,0.71,0.12,4.92,93.47,,,,,,,,,
M1_EvGlass2_R2_R3G5_Average.d,,13.523,0.408,14.50,821.94,18.13,138.83,4.10,28.86,0.64,65.29,0.75,2.74,0.198,0.193,1.502,2.676,0.417,1.787,0.424,0.171,0.551,0.092,0.625,0.120,0.506,0.089,0.532,0.108,2.31,64.42,0.72,14.94,0.08,5.55,0.00,0.65,0.11,5.19,94.10,,,,,,,,,
M1_EvGlass2_R2_R3G6_Average.d,,8.633,0.087,8.25,739.48,20.44,151.80,3.97,30.11,0.63,71.09,0.80,2.70,0.201,0.236,1.476,2.828,0.418,1.917,0.475,0.136,0.538,0.075,0.639,0.162,0.465,0.068,0.484,0.086,2.38,65.01,0.49,15.41,0.09,4.64,0.01,0.66,0.11,5.22,94.15,,,,,,,,,
M1_EvGlass2_R2_R3G7_Average.d,,10.692,0.318,11.98,768.02,19.17,148.82,4.17,31.04,0.61,69.61,0.85,2.65,0.202,0.199,1.497,2.643,0.440,2.016,0.505,0.147,0.565,0.074,0.540,0.129,0.393,0.075,0.565,0.109,2.23,63.67,0.70,14.86,0.08,5.77,0.00,0.66,0.14,5.11,93.38,,,,,,,,,
M1_EvGlass2_R2_R3G8_1.d,,9.384,0.160,12.51,873.79,19.28,148.13,4.38,29.71,0.62,69.11,1.01,3.09,0.198,0.193,1.549,2.803,0.424,2.018,0.698,0.208,0.706,0.137,0.605,0.115,0.534,0.086,0.566,0.110,2.48,64.52,0.49,15.01,0.06,4.33,0.01,0.67,0.12,5.11,92.94,,,,,,,,,
M1_EvGlass2_R2_R4G8_Average.d,,11.723,0.250,15.57,891.14,19.76,150.88,4.98,31.67,0.69,70.28,1.03,2.76,0.220,0.214,1.569,2.904,0.453,1.929,0.558,0.178,0.715,0.106,0.787,0.162,0.596,0.074,0.668,0.100,2.50,65.01,0.48,15.34,0.08,4.58,0.01,0.70,0.13,5.09,94.05,,,,,,,,,
M1_EvGLass2_R2_R4G5_Average.d,,13.002,0.287,12.63,859.57,22.52,150.56,4.48,31.29,0.61,70.03,0.76,3.39,0.216,0.218,1.591,2.753,0.411,1.856,0.507,0.169,0.570,0.100,0.737,0.146,0.500,0.090,0.587,0.119,2.51,64.95,0.47,15.03,0.07,4.62,0.00,0.70,0.12,4.98,93.61,,,,,,,,,
M1_EvGLass2_R2_R5G7_2.d,,12.605,0.325,13.04,923.89,19.03,155.08,4.17,32.39,0.70,70.97,1.03,3.01,0.223,0.178,1.536,2.884,0.438,1.881,0.523,0.145,0.695,0.123,0.685,0.139,0.426,0.059,0.666,0.101,2.71,65.74,0.26,15.55,0.07,4.03,0.03,0.75,0.12,4.76,94.18,,,,,,,,,
M1_EvGLass2_R2_R5G10_1.d,,9.976,0.103,12.33,885.50,20.23,150.58,4.52,31.76,0.66,71.00,0.96,2.96,0.218,0.220,1.496,2.978,0.427,1.846,0.582,0.215,0.604,0.133,0.597,0.218,0.494,0.112,0.543,0.090,2.57,65.26,0.38,15.45,0.09,4.60,0.01,0.69,0.13,4.94,94.27,,,,,,,,,
M1_EvGLass2_R2_R5G11_1.d,,13.620,0.397,7.17,726.02,22.37,150.76,3.23,27.67,0.67,75.50,0.60,3.10,0.188,0.236,1.465,2.829,0.388,1.673,0.382,0.147,0.453,0.069,0.665,0.119,0.425,0.076,0.494,0.074,2.34,64.08,0.71,15.08,0.10,5.42,0.01,0.64,0.14,5.21,93.89,,,,,,,,,
M1_EvGLass2_R2_R5G12_1.d,,12.990,0.314,8.27,891.38,19.97,143.60,4.42,27.85,0.74,69.53,0.95,2.85,0.159,0.222,1.501,2.925,0.487,2.342,0.385,0.145,0.737,0.097,0.569,0.146,0.285,0.076,0.546,0.086,2.51,64.70,0.47,15.38,0.06,4.84,0.00,0.68,0.13,5.23,94.13,,,,,,,,,
GlassRun01_EvGlass1_3_Average.d,157.974,15.490,0.461,11.22,816.81,20.27,141.87,3.68,26.97,0.58,68.62,0.76,2.79,0.166,0.198,1.360,2.774,0.434,1.684,0.476,0.184,0.526,0.072,0.662,0.123,0.493,0.083,0.494,0.090,2.06,65.31,0.65,15.79,0.10,5.70,0.00,0.67,0.16,5.56,96.13,,,,,,,,,
GlassRun01_EvGlass1_4_2.d,84.944,8.445,0.079,6.66,768.96,20.10,146.05,3.82,28.52,0.62,70.36,0.85,3.17,0.205,0.221,1.403,2.743,0.422,1.959,0.453,0.158,0.525,0.086,0.609,0.135,0.465,0.075,0.633,0.101,2.23,66.11,0.49,16.25,0.09,4.78,0.00,0.66,0.12,5.45,96.35,,,,,,,,,
GlassRun01_EvGlass1_5_2.d,189.785,16.932,1.085,15.12,852.78,17.55,132.92,4.04,26.34,0.53,61.56,0.82,2.72,0.130,0.181,1.343,2.658,0.378,1.806,0.449,0.196,0.565,0.098,0.633,0.142,0.525,0.072,0.626,0.099,1.93,63.43,1.25,15.18,0.10,7.39,0.01,0.60,0.13,6.01,96.11,,,,,,,,,
GlassRun01_EvGlass1_6_1.d,137.429,9.993,0.088,8.09,826.13,20.38,157.41,4.15,30.58,0.63,73.06,1.11,2.78,0.208,0.226,1.451,2.733,0.375,2.054,0.419,0.123,0.459,0.119,0.724,0.147,0.506,0.083,0.522,0.096,2.23,66.78,0.52,16.17,0.07,5.03,-0.01,0.68,0.11,5.28,96.98,,,,,,,,,
GlassRun01_EvGlass1_1_Average.d,156.562,15.479,0.648,14.72,865.95,17.71,135.72,4.17,26.65,0.57,64.56,0.77,2.53,0.187,0.183,1.330,2.555,0.387,1.789,0.476,0.147,0.600,0.105,0.613,0.142,0.464,0.079,0.737,0.097,2.10,63.29,1.20,15.28,0.09,7.31,-0.01,0.61,0.15,6.23,96.38,,,,,,,,,
GlassRun01_EvGlass1_2_1.d,,,,12.05,863.05,18.72,144.87,4.08,28.06,0.59,64.62,0.69,2.66,0.184,0.204,1.374,2.780,0.472,1.723,0.502,0.177,0.562,0.090,0.729,0.159,0.442,0.085,0.607,0.095,1.38,64.33,0.51,15.55,0.08,4.98,-0.01,1.37,0.13,4.99,93.44,,,,,,,,,
GlassRun01_EvGlass1_7_Average.d,127.935,9.485,0.098,8.11,820.15,20.24,155.35,4.10,30.09,0.66,71.63,0.91,3.09,0.193,0.243,1.542,2.823,0.420,1.947,0.598,0.161,0.576,0.086,0.580,0.126,0.481,0.053,0.483,0.085,2.47,66.85,0.39,16.54,0.08,4.32,0.01,0.71,0.14,5.38,97.01,,,,,,,,,
GlassRun01_EvGlass1_8_1.d,173.241,13.412,0.960,15.69,883.01,19.39,158.64,4.94,30.72,0.73,70.95,0.85,3.15,0.180,0.218,1.486,2.876,0.470,1.928,0.474,0.176,0.688,0.095,0.642,0.172,0.557,0.096,0.697,0.121,2.36,66.32,0.63,15.77,0.10,5.24,0.00,0.69,0.13,5.12,96.49,,,,,,,,,
GlassRun01_EvGlass1_9_1.d,166.396,14.849,0.366,13.76,917.71,18.85,154.15,4.36,30.30,0.67,68.74,0.83,3.17,0.150,0.197,,,,,,,,,,,,,,,2.40,67.10,0.43,16.12,0.07,4.96,0.00,0.72,0.14,4.99,97.05,,,,,,,,,
GlassRun01_EvGlass1_10_Average.d,126.796,9.878,0.098,9.49,841.25,20.14,157.56,4.27,30.06,0.68,73.26,0.85,3.10,0.197,0.201,1.447,2.827,0.429,1.798,0.453,0.176,0.566,0.074,0.601,0.146,0.488,0.062,0.578,0.089,2.36,66.42,0.53,16.14,0.07,5.47,0.01,0.68,0.16,5.53,97.48,,,,,,,,,
GlassRun01_EvGlass1_11_Average.d,166.323,15.391,0.455,12.09,832.62,18.89,149.07,4.26,29.60,0.69,69.65,0.78,2.85,0.190,0.203,1.502,2.761,0.421,1.841,0.527,0.152,0.560,0.094,0.732,0.142,0.498,0.066,0.656,0.091,2.24,65.62,0.76,15.72,0.09,6.28,0.00,0.62,0.12,5.59,97.18,,,,,,,,,
GlassRun01_EvGlass1_12_1.d,147.070,9.467,0.098,7.59,802.44,19.15,148.44,3.92,29.66,0.65,69.00,0.82,2.96,0.165,0.195,1.381,2.723,0.354,1.537,0.344,0.144,0.431,0.064,0.495,0.098,0.396,0.056,0.505,0.073,2.45,66.87,0.36,16.38,0.07,4.59,0.00,0.70,0.12,5.14,96.80,,,,,,,,,
GlassRun01_EvGlass1_16_Average.d,135.203,9.037,0.297,6.20,688.22,20.74,154.66,3.68,28.63,0.65,73.95,0.76,2.78,0.221,0.207,1.464,2.842,0.444,1.702,0.391,0.138,0.615,0.078,0.582,0.153,0.423,0.080,0.637,0.099,2.29,67.11,0.47,16.30,0.09,4.49,0.01,0.65,0.14,5.26,96.97,,,,,,,,,
GlassRun01_EvGlass1_15_Average.d,155.997,13.298,0.235,12.92,853.90,19.11,151.44,4.72,30.97,0.60,68.71,0.85,2.73,0.196,0.202,1.485,2.800,0.454,2.053,0.514,0.179,0.602,0.113,0.754,0.142,0.543,0.089,0.627,0.098,2.21,65.09,0.79,15.69,0.10,6.56,0.01,0.63,0.14,5.71,97.08,,,,,,,,,
